;intézmény megyéje;intézmény városa;vizsgázó évfolyama;vizsgázó képzési típusa;vizsgázó neme;vizsgázó képzési munkarendje;vizsgatárgy neve;vizsga szintje;vizsga fajtája;vizsgamentesség;vizsga nyelve;érdemjegy;össz százalék;össz pontszám;vizsgázó részvétele;I. feleletválasztós kérdéssor;II. esszé: tartalom;II. esszé:  kifejtés módja;III. összetett feladatok;írásbeli pontszám;mérés és tételkifejtés: tartalmi helyesség;mérés és tételkifejtés: felépítés, kifejtés;szóbeli pontszám;év;szint;időszak;egy téma kifejtése kísérlettel vagy méréssel: tartalom;egy téma kifejtése kísérlettel vagy méréssel: felépítés, kifejtés;II. összetett feladatok
16;Budapest;Budapest;11.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;4.0;75.0;113.0;megjelent;30.0;;;;65.0;;;48.0;2013;K;tavasz;44.0;4.0;35.0
17;Budapest;Budapest;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;84.0;127.0;megjelent;30.0;;;;69.0;;;58.0;2013;K;tavasz;53.0;5.0;39.0
18;Budapest;Budapest;13.0;szakközép;férfi;nappali;fizika;közép;elõrehozott;-;angol;4.0;78.0;118.0;megjelent;22.0;;;;64.0;;;54.0;2013;K;tavasz;50.0;4.0;42.0
19;Budapest;Budapest;12.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;3.0;41.0;62.0;megjelent;18.0;;;;25.0;;;37.0;2013;K;tavasz;32.0;5.0;7.0
20;Budapest;Budapest;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;3.0;49.0;74.0;megjelent;20.0;;;;40.0;;;34.0;2013;K;tavasz;32.0;2.0;20.0
21;Budapest;Budapest;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;86.0;129.0;megjelent;32.0;;;;71.0;;;58.0;2013;K;tavasz;53.0;5.0;39.0
22;Budapest;Budapest;13.0;szakközép;férfi;nappali;fizika;közép;javító;-;magyar;5.0;81.0;122.0;megjelent;28.0;;;;62.0;;;60.0;2013;K;tavasz;55.0;5.0;34.0
23;Budapest;Budapest;12.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;5.0;81.0;122.0;megjelent;22.0;;;;67.0;;;55.0;2013;K;tavasz;51.0;4.0;45.0
24;Budapest;Budapest;12.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;4.0;70.0;106.0;megjelent;14.0;;;;53.0;;;53.0;2013;K;tavasz;49.0;4.0;39.0
25;Budapest;Budapest;13.0;szakközép;férfi;nappali;fizika;közép;elõrehozott;-;magyar;1.0;30.0;46.0;nem jelent meg;;;;;;;;;2013;K;tavasz;;;
26;Budapest;Budapest;;gimnázium;férfi;nincs tanulói jogviszonya;fizika;közép;kiegészítõ;-;magyar;4.0;60.0;90.0;megjelent;26.0;;;;64.0;;;26.0;2013;K;tavasz;24.0;2.0;38.0
27;Budapest;Budapest;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;4.0;77.0;116.0;megjelent;28.0;;;;56.0;;;60.0;2013;K;tavasz;55.0;5.0;28.0
28;Budapest;Budapest;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;90.0;136.0;megjelent;26.0;;;;76.0;;;60.0;2013;K;tavasz;55.0;5.0;50.0
29;Budapest;Budapest;13.0;szakközép;férfi;nappali;fizika;közép;elõrehozott;-;magyar;4.0;74.0;111.0;megjelent;22.0;;;;53.0;;;58.0;2013;K;tavasz;53.0;5.0;31.0
30;Budapest;Budapest;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;90.0;135.0;megjelent;28.0;;;;75.0;;;60.0;2013;K;tavasz;55.0;5.0;47.0
31;Budapest;Budapest;11.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;3.0;52.0;79.0;megjelent;22.0;;;;50.0;;;29.0;2013;K;tavasz;26.0;3.0;28.0
32;Budapest;Budapest;13.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;német;5.0;82.0;124.0;megjelent;30.0;;;;66.0;;;58.0;2013;K;tavasz;55.0;3.0;36.0
33;Budapest;Budapest;12.0;gimnázium;férfi;felnõttoktatás, esti/levelezõ;fizika;közép;rendes;-;magyar;3.0;43.0;65.0;megjelent;16.0;;;;33.0;;;32.0;2013;K;tavasz;29.0;3.0;17.0
34;Budapest;Budapest;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;85.0;128.0;megjelent;26.0;;;;70.0;;;58.0;2013;K;tavasz;53.0;5.0;44.0
35;Budapest;Budapest;12.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;5.0;86.0;129.0;megjelent;28.0;;;;71.0;;;58.0;2013;K;tavasz;53.0;5.0;43.0
36;Budapest;Budapest;;szakközép;férfi;nincs tanulói jogviszonya;fizika;közép;rendes;-;magyar;2.0;28.0;42.0;megjelent;18.0;;;;28.0;;;14.0;2013;K;tavasz;11.0;3.0;10.0
37;Budapest;Budapest;13.0;gimnázium;férfi;nappali;fizika;közép;javító;-;magyar;3.0;57.0;86.0;megjelent;20.0;;;;51.0;;;35.0;2013;K;tavasz;33.0;2.0;31.0
38;Budapest;Budapest;;-;férfi;nincs tanulói jogviszonya;fizika;közép;kiegészítõ;-;magyar;3.0;54.0;82.0;megjelent;24.0;;;;52.0;;;30.0;2013;K;tavasz;26.0;4.0;28.0
39;Budapest;Budapest;13.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;német;4.0;69.0;104.0;megjelent;20.0;;;;57.0;;;47.0;2013;K;tavasz;44.0;3.0;37.0
40;Budapest;Budapest;12.0;gimnázium;nõ;nappali;fizika;közép;javító;-;magyar;1.0;26.0;40.0;nem jelent meg;;;;;;;;;2013;K;tavasz;;;
41;Budapest;Budapest;12.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;5.0;86.0;130.0;megjelent;26.0;;;;73.0;;;57.0;2013;K;tavasz;53.0;4.0;47.0
42;Budapest;Budapest;12.0;gimnázium;nõ;nappali;fizika;közép;javító;-;magyar;1.0;28.0;42.0;nem jelent meg;;;;;;;;;2013;K;tavasz;;;
43;Budapest;Budapest;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;86.0;129.0;megjelent;30.0;;;;70.0;;;59.0;2013;K;tavasz;54.0;5.0;40.0
44;Budapest;Budapest;12.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;5.0;82.0;124.0;megjelent;22.0;;;;71.0;;;53.0;2013;K;tavasz;48.0;5.0;49.0
45;Budapest;Budapest;12.0;gimnázium;nõ;nappali;fizika;közép;javító;-;magyar;4.0;74.0;111.0;megjelent;26.0;;;;61.0;;;50.0;2013;K;tavasz;45.0;5.0;35.0
46;Budapest;Budapest;;-;férfi;nincs tanulói jogviszonya;fizika;közép;ismétlõ;-;magyar;3.0;55.0;83.0;megjelent;18.0;;;;38.0;;;45.0;2013;K;tavasz;42.0;3.0;20.0
47;Budapest;Budapest;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;1.0;53.0;80.0;nem jelent meg;;;;;;;;;2013;K;tavasz;;;
48;Budapest;Budapest;13.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;3.0;48.0;73.0;megjelent;14.0;;;;45.0;;;28.0;2013;K;tavasz;25.0;3.0;31.0
49;Budapest;Budapest;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;88.0;133.0;megjelent;34.0;;;;78.0;;;55.0;2013;K;tavasz;50.0;5.0;44.0
50;Budapest;Budapest;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;4.0;78.0;118.0;megjelent;24.0;;;;59.0;;;59.0;2013;K;tavasz;55.0;4.0;35.0
51;Budapest;Budapest;13.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;94.0;142.0;megjelent;32.0;;;;82.0;;;60.0;2013;K;tavasz;55.0;5.0;50.0
52;Budapest;Budapest;13.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;88.0;133.0;megjelent;28.0;;;;73.0;;;60.0;2013;K;tavasz;55.0;5.0;45.0
53;Budapest;Budapest;13.0;gimnázium;nõ;nappali;fizika;közép;pótló;-;magyar;4.0;69.0;104.0;megjelent;26.0;;;;53.0;;;51.0;2013;K;tavasz;46.0;5.0;27.0
54;Budapest;Budapest;;-;férfi;nappali;fizika;közép;ismétlõ;-;magyar;4.0;60.0;91.0;megjelent;24.0;;;;56.0;;;35.0;2013;K;tavasz;31.0;4.0;32.0
55;Budapest;Budapest;;gimnázium;férfi;nincs tanulói jogviszonya;fizika;közép;ismétlõ;-;magyar;5.0;83.0;125.0;megjelent;22.0;;;;70.0;;;55.0;2013;K;tavasz;51.0;4.0;48.0
56;Budapest;Budapest;13.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;2.0;36.0;54.0;megjelent;16.0;;;;34.0;;;20.0;2013;K;tavasz;18.0;2.0;18.0
57;Budapest;Budapest;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;92.0;138.0;megjelent;28.0;;;;78.0;;;60.0;2013;K;tavasz;55.0;5.0;50.0
58;Budapest;Budapest;;szakközép;nõ;nincs tanulói jogviszonya;fizika;közép;kiegészítõ;-;magyar;;;;nem jelent meg;;;;;;;;;2013;K;tavasz;;;
59;Baranya;Pécs;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;89.0;134.0;megjelent;30.0;;;;74.0;;;60.0;2013;K;tavasz;55.0;5.0;44.0
60;Baranya;Pécs;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;1.0;36.0;54.0;nem jelent meg;;;;;;;;;2013;K;tavasz;;;
61;Baranya;Pécs;12.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;;;;nem jelent meg;;;;;;;;;2013;K;tavasz;;;
62;Baranya;Pécs;12.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;5.0;84.0;127.0;megjelent;26.0;;;;67.0;;;60.0;2013;K;tavasz;55.0;5.0;41.0
63;Baranya;Pécs;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;96.0;144.0;megjelent;34.0;;;;84.0;;;60.0;2013;K;tavasz;55.0;5.0;50.0
64;Baranya;Pécs;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;4.0;75.0;113.0;megjelent;10.0;;;;54.0;;;59.0;2013;K;tavasz;55.0;4.0;44.0
65;Baranya;Pécs;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;1.0;46.0;70.0;nem jelent meg;;;;;;;;;2013;K;tavasz;;;
66;Baranya;Pécs;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;92.0;138.0;megjelent;28.0;;;;78.0;;;60.0;2013;K;tavasz;55.0;5.0;50.0
67;Baranya;Pécs;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;93.0;140.0;megjelent;30.0;;;;80.0;;;60.0;2013;K;tavasz;55.0;5.0;50.0
68;Baranya;Pécs;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;92.0;138.0;megjelent;28.0;;;;78.0;;;60.0;2013;K;tavasz;55.0;5.0;50.0
69;Baranya;Pécs;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;4.0;75.0;113.0;megjelent;18.0;;;;53.0;;;60.0;2013;K;tavasz;55.0;5.0;35.0
70;Baranya;Pécs;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;4.0;73.0;110.0;megjelent;20.0;;;;56.0;;;54.0;2013;K;tavasz;49.0;5.0;36.0
71;Baranya;Pécs;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;;;;nem jelent meg;;;;;;;;;2013;K;tavasz;;;
72;Bács-Kiskun;Kecskemét;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;angol;1.0;34.0;52.0;nem jelent meg;;;;;;;;;2013;K;tavasz;;;
73;Bács-Kiskun;Kecskemét;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;98.0;147.0;megjelent;38.0;;;;88.0;;;59.0;2013;K;tavasz;55.0;4.0;50.0
74;Bács-Kiskun;Kecskemét;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;angol;1.0;30.0;46.0;nem jelent meg;;;;;;;;;2013;K;tavasz;;;
75;Bács-Kiskun;Kecskemét;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;angol;5.0;89.0;134.0;megjelent;26.0;;;;74.0;;;60.0;2013;K;tavasz;55.0;5.0;48.0
76;Bács-Kiskun;Kecskemét;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;80.0;120.0;megjelent;26.0;;;;64.0;;;56.0;2013;K;tavasz;53.0;3.0;38.0
77;Bács-Kiskun;Kecskemét;12.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;;;;nem jelent meg;;;;;;;;;2013;K;tavasz;;;
78;Bács-Kiskun;Kecskemét;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;angol;5.0;82.0;124.0;megjelent;22.0;;;;64.0;;;60.0;2013;K;tavasz;55.0;5.0;42.0
79;Bács-Kiskun;Kecskemét;12.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;angol;4.0;62.0;93.0;megjelent;10.0;;;;44.0;;;49.0;2013;K;tavasz;46.0;3.0;34.0
80;Bács-Kiskun;Kecskemét;;-;férfi;nincs tanulói jogviszonya;fizika;közép;kiegészítõ;-;magyar;;;;nem jelent meg;;;;;;;;;2013;K;tavasz;;;
81;Bács-Kiskun;Kecskemét;;-;nõ;nincs tanulói jogviszonya;fizika;közép;ismétlõ;-;magyar;4.0;61.0;92.0;megjelent;18.0;;;;52.0;;;40.0;2013;K;tavasz;37.0;3.0;34.0
82;Békés;Orosháza;12.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;5.0;82.0;123.0;megjelent;32.0;;;;67.0;;;56.0;2013;K;tavasz;52.0;4.0;35.0
83;Békés;Orosháza;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;85.0;128.0;megjelent;18.0;;;;68.0;;;60.0;2013;K;tavasz;55.0;5.0;50.0
84;Békés;Orosháza;12.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;4.0;74.0;112.0;megjelent;18.0;;;;53.0;;;59.0;2013;K;tavasz;54.0;5.0;35.0
85;Békés;Orosháza;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;80.0;120.0;megjelent;30.0;;;;62.0;;;58.0;2013;K;tavasz;54.0;4.0;32.0
86;Békés;Békéscsaba;12.0;szakközép;nõ;nappali;fizika;közép;elõrehozott;-;magyar;4.0;70.0;106.0;megjelent;20.0;;;;46.0;;;60.0;2013;K;tavasz;55.0;5.0;26.0
87;Békés;Békéscsaba;13.0;szakközép;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;90.0;135.0;megjelent;30.0;;;;75.0;;;60.0;2013;K;tavasz;55.0;5.0;45.0
88;Békés;Békéscsaba;12.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;1.0;32.0;48.0;nem jelent meg;;;;;;;;;2013;K;tavasz;;;
89;Békés;Orosháza;12.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;4.0;68.0;102.0;megjelent;16.0;;;;47.0;;;55.0;2013;K;tavasz;50.0;5.0;31.0
90;Békés;Békéscsaba;13.0;szakközép;nõ;nappali;fizika;közép;elõrehozott;-;magyar;4.0;76.0;114.0;megjelent;24.0;;;;54.0;;;60.0;2013;K;tavasz;55.0;5.0;30.0
91;Békés;Békéscsaba;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;1.0;25.0;38.0;nem jelent meg;;;;;;;;;2013;K;tavasz;;;
92;Békés;Orosháza;11.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;94.0;142.0;megjelent;32.0;;;;82.0;;;60.0;2013;K;tavasz;55.0;5.0;50.0
93;Békés;Orosháza;11.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;4.0;75.0;113.0;megjelent;26.0;;;;55.0;;;58.0;2013;K;tavasz;53.0;5.0;29.0
94;Békés;Orosháza;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;4.0;60.0;90.0;megjelent;22.0;;;;41.0;;;49.0;2013;K;tavasz;45.0;4.0;19.0
95;Békés;Orosháza;12.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;4.0;77.0;116.0;megjelent;24.0;;;;61.0;;;55.0;2013;K;tavasz;50.0;5.0;37.0
96;Békés;Orosháza;11.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;84.0;126.0;megjelent;28.0;;;;67.0;;;59.0;2013;K;tavasz;54.0;5.0;39.0
97;Békés;Orosháza;11.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;5.0;86.0;130.0;megjelent;26.0;;;;70.0;;;60.0;2013;K;tavasz;55.0;5.0;44.0
98;Békés;Orosháza;11.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;4.0;78.0;118.0;megjelent;20.0;;;;58.0;;;60.0;2013;K;tavasz;55.0;5.0;38.0
99;Békés;Orosháza;11.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;87.0;131.0;megjelent;28.0;;;;71.0;;;60.0;2013;K;tavasz;55.0;5.0;43.0
100;Békés;Orosháza;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;84.0;127.0;megjelent;22.0;;;;68.0;;;59.0;2013;K;tavasz;55.0;4.0;46.0
101;Békés;Orosháza;12.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;5.0;82.0;124.0;megjelent;26.0;;;;65.0;;;59.0;2013;K;tavasz;54.0;5.0;39.0
102;Békés;Orosháza;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;92.0;138.0;megjelent;28.0;;;;78.0;;;60.0;2013;K;tavasz;55.0;5.0;50.0
103;Békés;Orosháza;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;84.0;126.0;megjelent;26.0;;;;66.0;;;60.0;2013;K;tavasz;55.0;5.0;40.0
104;Békés;Orosháza;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;84.0;126.0;megjelent;30.0;;;;67.0;;;59.0;2013;K;tavasz;54.0;5.0;37.0
105;Békés;Orosháza;12.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;5.0;86.0;129.0;megjelent;32.0;;;;69.0;;;60.0;2013;K;tavasz;55.0;5.0;37.0
106;Békés;Orosháza;12.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;2.0;34.0;51.0;megjelent;14.0;;;;17.0;;;34.0;2013;K;tavasz;32.0;2.0;3.0
107;Békés;Orosháza;11.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;4.0;63.0;95.0;megjelent;12.0;;;;37.0;;;58.0;2013;K;tavasz;53.0;5.0;25.0
108;Békés;Békéscsaba;12.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;1.0;34.0;51.0;nem jelent meg;;;;;;;;;2013;K;tavasz;;;
109;Borsod-Abaúj-Zemplén;Kazincbarcika;;-;férfi;nincs tanulói jogviszonya;fizika;közép;ismétlõ;-;magyar;4.0;74.0;111.0;megjelent;18.0;;;;51.0;;;60.0;2013;K;tavasz;55.0;5.0;33.0
110;Borsod-Abaúj-Zemplén;Miskolc;12.0;szakközép;férfi;nappali;fizika;közép;elõrehozott;-;magyar;4.0;70.0;105.0;megjelent;18.0;;;;45.0;;;60.0;2013;K;tavasz;55.0;5.0;27.0
111;Borsod-Abaúj-Zemplén;Ózd;12.0;gimnázium;nõ;nappali;fizika;közép;javító;-;magyar;3.0;45.0;68.0;megjelent;20.0;;;;32.0;;;36.0;2013;K;tavasz;33.0;3.0;12.0
112;Borsod-Abaúj-Zemplén;Miskolc;12.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;5.0;82.0;124.0;megjelent;22.0;;;;67.0;;;57.0;2013;K;tavasz;52.0;5.0;45.0
113;Borsod-Abaúj-Zemplén;Miskolc;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;80.0;120.0;megjelent;24.0;;;;64.0;;;56.0;2013;K;tavasz;52.0;4.0;40.0
114;Borsod-Abaúj-Zemplén;Miskolc;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;94.0;142.0;megjelent;36.0;;;;82.0;;;60.0;2013;K;tavasz;55.0;5.0;46.0
115;Borsod-Abaúj-Zemplén;Miskolc;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;82.0;123.0;megjelent;24.0;;;;67.0;;;56.0;2013;K;tavasz;51.0;5.0;43.0
116;Borsod-Abaúj-Zemplén;Miskolc;12.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;1.0;26.0;39.0;nem jelent meg;;;;;;;;;2013;K;tavasz;;;
117;Borsod-Abaúj-Zemplén;Kazincbarcika;12.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;5.0;80.0;121.0;megjelent;24.0;;;;61.0;;;60.0;2013;K;tavasz;55.0;5.0;37.0
118;Borsod-Abaúj-Zemplén;Tiszaújváros;13.0;szakközép;nõ;nappali;fizika;közép;rendes;-;magyar;3.0;40.0;61.0;megjelent;14.0;;;;19.0;;;42.0;2013;K;tavasz;38.0;4.0;5.0
119;Borsod-Abaúj-Zemplén;Miskolc;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;1.0;33.0;50.0;nem jelent meg;;;;;;;;;2013;K;tavasz;;;
120;Borsod-Abaúj-Zemplén;Miskolc;12.0;gimnázium;nõ;nappali;fizika;közép;elõrehozott;-;magyar;5.0;100.0;150.0;megjelent;40.0;;;;90.0;;;60.0;2013;K;tavasz;55.0;5.0;50.0
121;Borsod-Abaúj-Zemplén;Miskolc;13.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;80.0;121.0;megjelent;22.0;;;;66.0;;;55.0;2013;K;tavasz;50.0;5.0;44.0
122;Borsod-Abaúj-Zemplén;Miskolc;12.0;gimnázium;nõ;nappali;fizika;közép;javító;-;magyar;4.0;68.0;102.0;megjelent;22.0;;;;42.0;;;60.0;2013;K;tavasz;55.0;5.0;20.0
123;Borsod-Abaúj-Zemplén;Miskolc;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;80.0;120.0;megjelent;20.0;;;;60.0;;;60.0;2013;K;tavasz;55.0;5.0;40.0
124;Borsod-Abaúj-Zemplén;Ózd;12.0;gimnázium;nõ;nappali;fizika;közép;javító;-;magyar;3.0;48.0;72.0;megjelent;20.0;;;;42.0;;;30.0;2013;K;tavasz;28.0;2.0;22.0
125;Borsod-Abaúj-Zemplén;Miskolc;12.0;gimnázium;férfi;nappali;fizika;közép;elõrehozott;-;magyar;5.0;82.0;124.0;megjelent;28.0;;;;69.0;;;55.0;2013;K;tavasz;50.0;5.0;41.0
