# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-03-07 06:49:31 EST       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01646500 POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01646500
#            TS   parameter     Description
#         69928       00060     Discharge, cubic feet per second
#         69929       00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	tz_cd	69928_00060	69928_00060_cd	69929_00065	69929_00065_cd
USGS	01646500	2019-11-01 23:15	EDT	19700	A	4.85	A
USGS	01646500	2019-11-01 23:30	EDT	19700	A	4.85	A
USGS	01646500	2019-11-01 23:45	EDT	19600	A	4.84	A
USGS	01646500	2019-11-02 00:00	EDT	19600	A	4.84	A
USGS	01646500	2019-11-02 00:15	EDT	19600	A	4.84	A
USGS	01646500	2019-11-02 00:30	EDT	19400	A	4.83	A
USGS	01646500	2019-11-02 00:45	EDT	19400	A	4.83	A
USGS	01646500	2019-11-02 01:00	EDT	19400	A	4.83	A
USGS	01646500	2019-11-02 01:15	EDT	19400	A	4.83	A
USGS	01646500	2019-11-02 01:30	EDT	19400	A	4.83	A
USGS	01646500	2019-11-02 01:45	EDT	19300	A	4.82	A
USGS	01646500	2019-11-02 02:00	EDT	19400	A	4.83	A
USGS	01646500	2019-11-02 02:15	EDT	19400	A	4.83	A
USGS	01646500	2019-11-02 02:30	EDT	19400	A	4.83	A
USGS	01646500	2019-11-02 02:45	EDT	19300	A	4.82	A
USGS	01646500	2019-11-02 03:00	EDT	19400	A	4.83	A
USGS	01646500	2019-11-02 03:15	EDT	19300	A	4.82	A
USGS	01646500	2019-11-02 03:30	EDT	19300	A	4.82	A
USGS	01646500	2019-11-02 03:45	EDT	19300	A	4.82	A
USGS	01646500	2019-11-02 04:00	EDT	19200	A	4.81	A
USGS	01646500	2019-11-02 04:15	EDT	19300	A	4.82	A
USGS	01646500	2019-11-02 04:30	EDT	19300	A	4.82	A
USGS	01646500	2019-11-02 04:45	EDT	19200	A	4.81	A
USGS	01646500	2019-11-02 05:00	EDT	19200	A	4.81	A
USGS	01646500	2019-11-02 05:15	EDT	19200	A	4.81	A
USGS	01646500	2019-11-02 05:30	EDT	19200	A	4.81	A
USGS	01646500	2019-11-02 05:45	EDT	19100	A	4.80	A
USGS	01646500	2019-11-02 06:00	EDT	19100	A	4.80	A
USGS	01646500	2019-11-02 06:15	EDT	19100	A	4.80	A
USGS	01646500	2019-11-02 06:30	EDT	19100	A	4.80	A
USGS	01646500	2019-11-02 06:45	EDT	18900	A	4.79	A
USGS	01646500	2019-11-02 07:00	EDT	18900	A	4.79	A
USGS	01646500	2019-11-02 07:15	EDT	18900	A	4.79	A
USGS	01646500	2019-11-02 07:30	EDT	18800	A	4.78	A
USGS	01646500	2019-11-02 07:45	EDT	18700	A	4.77	A
USGS	01646500	2019-11-02 08:00	EDT	18700	A	4.77	A
USGS	01646500	2019-11-02 08:15	EDT	18700	A	4.77	A
USGS	01646500	2019-11-02 08:30	EDT	18500	A	4.76	A
USGS	01646500	2019-11-02 08:45	EDT	18400	A	4.75	A
USGS	01646500	2019-11-02 09:00	EDT	18400	A	4.75	A
USGS	01646500	2019-11-02 09:15	EDT	18300	A	4.74	A
USGS	01646500	2019-11-02 09:30	EDT	18200	A	4.73	A
USGS	01646500	2019-11-02 09:45	EDT	18100	A	4.72	A
USGS	01646500	2019-11-02 10:00	EDT	17900	A	4.71	A
USGS	01646500	2019-11-02 10:30	EDT	17700	A	4.69	A
USGS	01646500	2019-11-02 10:45	EDT	17400	A	4.67	A
USGS	01646500	2019-11-02 11:00	EDT	17300	A	4.66	A
USGS	01646500	2019-11-02 11:15	EDT	17300	A	4.66	A
USGS	01646500	2019-11-02 11:30	EDT	17200	A	4.65	A
USGS	01646500	2019-11-02 11:45	EDT	17000	A	4.63	A
USGS	01646500	2019-11-02 12:00	EDT	17000	A	4.63	A
USGS	01646500	2019-11-02 12:15	EDT	16700	A	4.61	A
USGS	01646500	2019-11-02 12:30	EDT	16500	A	4.59	A
USGS	01646500	2019-11-02 12:45	EDT	16400	A	4.58	A
USGS	01646500	2019-11-02 13:00	EDT	16400	A	4.58	A
USGS	01646500	2019-11-02 13:15	EDT	16100	A	4.56	A
USGS	01646500	2019-11-02 13:30	EDT	15900	A	4.54	A
USGS	01646500	2019-11-02 13:45	EDT	15800	A	4.53	A
USGS	01646500	2019-11-02 14:00	EDT	15700	A	4.52	A
USGS	01646500	2019-11-02 14:15	EDT	15600	A	4.51	A
USGS	01646500	2019-11-02 14:30	EDT	15300	A	4.49	A
USGS	01646500	2019-11-02 14:45	EDT	15200	A	4.48	A
USGS	01646500	2019-11-02 15:00	EDT	15000	A	4.46	A
USGS	01646500	2019-11-02 15:15	EDT	14900	A	4.45	A
USGS	01646500	2019-11-02 15:30	EDT	14900	A	4.45	A
USGS	01646500	2019-11-02 15:45	EDT	14700	A	4.43	A
USGS	01646500	2019-11-02 16:00	EDT	14500	A	4.42	A
USGS	01646500	2019-11-02 16:15	EDT	14300	A	4.40	A
USGS	01646500	2019-11-02 16:30	EDT	14200	A	4.39	A
USGS	01646500	2019-11-02 16:45	EDT	14100	A	4.38	A
USGS	01646500	2019-11-02 17:00	EDT	13900	A	4.36	A
USGS	01646500	2019-11-02 17:15	EDT	13900	A	4.36	A
USGS	01646500	2019-11-02 17:30	EDT	13700	A	4.34	A
USGS	01646500	2019-11-02 17:45	EDT	13600	A	4.33	A
USGS	01646500	2019-11-02 18:00	EDT	13300	A	4.31	A
USGS	01646500	2019-11-02 18:15	EDT	13200	A	4.30	A
USGS	01646500	2019-11-02 18:30	EDT	13100	A	4.29	A
USGS	01646500	2019-11-02 18:45	EDT	13000	A	4.28	A
USGS	01646500	2019-11-02 19:00	EDT	12900	A	4.27	A
USGS	01646500	2019-11-02 19:15	EDT	12800	A	4.26	A
USGS	01646500	2019-11-02 19:30	EDT	12700	A	4.25	A
USGS	01646500	2019-11-02 19:45	EDT	12600	A	4.24	A
USGS	01646500	2019-11-02 20:00	EDT	12500	A	4.23	A
USGS	01646500	2019-11-02 20:15	EDT	12400	A	4.22	A
USGS	01646500	2019-11-02 20:30	EDT	12300	A	4.21	A
USGS	01646500	2019-11-02 20:45	EDT	12200	A	4.20	A
USGS	01646500	2019-11-02 21:00	EDT	12100	A	4.19	A
USGS	01646500	2019-11-02 21:15	EDT	12000	A	4.18	A
USGS	01646500	2019-11-02 21:30	EDT	11900	A	4.17	A
USGS	01646500	2019-11-02 21:45	EDT	11900	A	4.17	A
USGS	01646500	2019-11-02 22:00	EDT	11800	A	4.16	A
USGS	01646500	2019-11-02 22:15	EDT	11700	A	4.15	A
USGS	01646500	2019-11-02 22:30	EDT	11700	A	4.15	A
USGS	01646500	2019-11-02 22:45	EDT	11600	A	4.14	A
USGS	01646500	2019-11-02 23:00	EDT	11500	A	4.13	A
USGS	01646500	2019-11-02 23:15	EDT	11500	A	4.13	A
USGS	01646500	2019-11-02 23:30	EDT	11400	A	4.12	A
USGS	01646500	2019-11-02 23:45	EDT	11400	A	4.12	A
USGS	01646500	2019-11-03 00:00	EDT	11300	A	4.11	A
USGS	01646500	2019-11-03 00:15	EDT	11300	A	4.11	A
USGS	01646500	2019-11-03 00:30	EDT	11200	A	4.10	A
USGS	01646500	2019-11-03 00:45	EDT	11100	A	4.09	A
USGS	01646500	2019-11-03 01:00	EDT	11000	A	4.08	A
USGS	01646500	2019-11-03 01:00	EST	10800	A	4.06	A
USGS	01646500	2019-11-03 01:15	EDT	11000	A	4.08	A
USGS	01646500	2019-11-03 01:15	EST	10800	A	4.06	A
USGS	01646500	2019-11-03 01:30	EDT	10900	A	4.07	A
USGS	01646500	2019-11-03 01:30	EST	10800	A	4.06	A
USGS	01646500	2019-11-03 01:45	EDT	10800	A	4.06	A
USGS	01646500	2019-11-03 01:45	EST	10700	A	4.05	A
USGS	01646500	2019-11-03 02:00	EST	10700	A	4.05	A
USGS	01646500	2019-11-03 02:15	EST	10600	A	4.04	A
USGS	01646500	2019-11-03 02:30	EST	10600	A	4.04	A
USGS	01646500	2019-11-03 02:45	EST	10600	A	4.04	A
USGS	01646500	2019-11-03 03:00	EST	10500	A	4.03	A
USGS	01646500	2019-11-03 03:15	EST	10400	A	4.02	A
USGS	01646500	2019-11-03 03:30	EST	10400	A	4.02	A
USGS	01646500	2019-11-03 03:45	EST	10400	A	4.02	A
USGS	01646500	2019-11-03 04:00	EST	10300	A	4.01	A
USGS	01646500	2019-11-03 04:15	EST	10300	A	4.01	A
USGS	01646500	2019-11-03 04:30	EST	10300	A	4.01	A
USGS	01646500	2019-11-03 04:45	EST	10300	A	4.01	A
USGS	01646500	2019-11-03 05:00	EST	10200	A	4.00	A
USGS	01646500	2019-11-03 05:15	EST	10200	A	4.00	A
USGS	01646500	2019-11-03 05:30	EST	10100	A	3.99	A
USGS	01646500	2019-11-03 05:45	EST	10100	A	3.99	A
USGS	01646500	2019-11-03 06:00	EST	10000	A	3.98	A
USGS	01646500	2019-11-03 06:15	EST	10000	A	3.98	A
USGS	01646500	2019-11-03 06:30	EST	9920	A	3.97	A
USGS	01646500	2019-11-03 06:45	EST	10000	A	3.98	A
USGS	01646500	2019-11-03 07:00	EST	9920	A	3.97	A
USGS	01646500	2019-11-03 07:15	EST	9920	A	3.97	A
USGS	01646500	2019-11-03 07:30	EST	9830	A	3.96	A
USGS	01646500	2019-11-03 07:45	EST	9830	A	3.96	A
USGS	01646500	2019-11-03 08:00	EST	9830	A	3.96	A
USGS	01646500	2019-11-03 08:15	EST	9730	A	3.95	A
USGS	01646500	2019-11-03 08:30	EST	9730	A	3.95	A
USGS	01646500	2019-11-03 08:45	EST	9730	A	3.95	A
USGS	01646500	2019-11-03 09:00	EST	9630	A	3.94	A
USGS	01646500	2019-11-03 09:15	EST	9630	A	3.94	A
USGS	01646500	2019-11-03 09:30	EST	9630	A	3.94	A
USGS	01646500	2019-11-03 09:45	EST	9630	A	3.94	A
USGS	01646500	2019-11-03 10:00	EST	9540	A	3.93	A
USGS	01646500	2019-11-03 10:15	EST	9630	A	3.94	A
USGS	01646500	2019-11-03 10:30	EST	9540	A	3.93	A
USGS	01646500	2019-11-03 10:45	EST	9540	A	3.93	A
USGS	01646500	2019-11-03 11:00	EST	9440	A	3.92	A
USGS	01646500	2019-11-03 11:15	EST	9540	A	3.93	A
USGS	01646500	2019-11-03 11:30	EST	9540	A	3.93	A
USGS	01646500	2019-11-03 11:45	EST	9440	A	3.92	A
USGS	01646500	2019-11-03 12:00	EST	9440	A	3.92	A
USGS	01646500	2019-11-03 12:15	EST	9630	A	3.94	A
USGS	01646500	2019-11-03 12:30	EST	9440	A	3.92	A
USGS	01646500	2019-11-03 12:45	EST	9350	A	3.91	A
USGS	01646500	2019-11-03 13:00	EST	9260	A	3.90	A
USGS	01646500	2019-11-03 13:15	EST	9540	A	3.93	A
USGS	01646500	2019-11-03 13:30	EST	9440	A	3.92	A
USGS	01646500	2019-11-03 13:45	EST	9440	A	3.92	A
USGS	01646500	2019-11-03 14:00	EST	9260	A	3.90	A
USGS	01646500	2019-11-03 14:15	EST	9350	A	3.91	A
USGS	01646500	2019-11-03 14:30	EST	9440	A	3.92	A
USGS	01646500	2019-11-03 14:45	EST	9350	A	3.91	A
USGS	01646500	2019-11-03 15:00	EST	9350	A	3.91	A
USGS	01646500	2019-11-03 15:15	EST	9260	A	3.90	A
USGS	01646500	2019-11-03 15:30	EST	9260	A	3.90	A
USGS	01646500	2019-11-03 15:45	EST	9260	A	3.90	A
USGS	01646500	2019-11-03 16:00	EST	9260	A	3.90	A
USGS	01646500	2019-11-03 16:15	EST	9160	A	3.89	A
USGS	01646500	2019-11-03 16:30	EST	9260	A	3.90	A
USGS	01646500	2019-11-03 16:45	EST	9160	A	3.89	A
USGS	01646500	2019-11-03 17:00	EST	9160	A	3.89	A
USGS	01646500	2019-11-03 17:15	EST	9160	A	3.89	A
USGS	01646500	2019-11-03 17:30	EST	9160	A	3.89	A
USGS	01646500	2019-11-03 17:45	EST	9160	A	3.89	A
USGS	01646500	2019-11-03 18:00	EST	9160	A	3.89	A
USGS	01646500	2019-11-03 18:15	EST	9160	A	3.89	A
USGS	01646500	2019-11-03 18:30	EST	9160	A	3.89	A
USGS	01646500	2019-11-03 18:45	EST	9160	A	3.89	A
USGS	01646500	2019-11-03 19:00	EST	9160	A	3.89	A
USGS	01646500	2019-11-03 19:15	EST	9070	A	3.88	A
USGS	01646500	2019-11-03 19:30	EST	9070	A	3.88	A
USGS	01646500	2019-11-03 19:45	EST	9070	A	3.88	A
USGS	01646500	2019-11-03 20:00	EST	8980	A	3.87	A
USGS	01646500	2019-11-03 20:15	EST	8980	A	3.87	A
USGS	01646500	2019-11-03 20:30	EST	9070	A	3.88	A
USGS	01646500	2019-11-03 20:45	EST	8980	A	3.87	A
USGS	01646500	2019-11-03 21:00	EST	8980	A	3.87	A
USGS	01646500	2019-11-03 21:15	EST	8980	A	3.87	A
USGS	01646500	2019-11-03 21:30	EST	8980	A	3.87	A
USGS	01646500	2019-11-03 21:45	EST	8980	A	3.87	A
USGS	01646500	2019-11-03 22:00	EST	8890	A	3.86	A
USGS	01646500	2019-11-03 22:15	EST	8890	A	3.86	A
USGS	01646500	2019-11-03 22:30	EST	8890	A	3.86	A
USGS	01646500	2019-11-03 22:45	EST	8890	A	3.86	A
USGS	01646500	2019-11-03 23:00	EST	8890	A	3.86	A
USGS	01646500	2019-11-03 23:15	EST	8890	A	3.86	A
USGS	01646500	2019-11-03 23:30	EST	8890	A	3.86	A
USGS	01646500	2019-11-03 23:45	EST	8890	A	3.86	A
USGS	01646500	2019-11-04 00:00	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 00:15	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 00:30	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 00:45	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 01:00	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 01:15	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 01:30	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 01:45	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 02:00	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 02:15	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 02:30	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 02:45	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 03:00	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 03:15	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 03:30	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 03:45	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 04:00	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 04:15	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 04:30	EST	8700	A	3.84	A
USGS	01646500	2019-11-04 04:45	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 05:00	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 05:15	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 05:30	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 05:45	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 06:00	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 06:15	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 06:30	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 06:45	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 07:00	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 07:15	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 07:30	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 07:45	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 08:00	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 08:15	EST	8880	A	3.86	A
USGS	01646500	2019-11-04 08:30	EST	8790	A	3.85	A
USGS	01646500	2019-11-04 08:45	EST	8880	A	3.86	A
USGS	01646500	2019-11-04 09:00	EST	8880	A	3.86	A
USGS	01646500	2019-11-04 09:15	EST	8880	A	3.86	A
USGS	01646500	2019-11-04 09:30	EST	8880	A	3.86	A
USGS	01646500	2019-11-04 09:45	EST	8880	A	3.86	A
USGS	01646500	2019-11-04 10:00	EST	8880	A	3.86	A
USGS	01646500	2019-11-04 10:15	EST	8880	A	3.86	A
USGS	01646500	2019-11-04 10:30	EST	8980	A	3.87	A
USGS	01646500	2019-11-04 10:45	EST	8880	A	3.86	A
USGS	01646500	2019-11-04 11:00	EST	8880	A	3.86	A
USGS	01646500	2019-11-04 11:15	EST	8980	A	3.87	A
USGS	01646500	2019-11-04 11:30	EST	8980	A	3.87	A
USGS	01646500	2019-11-04 11:45	EST	8980	A	3.87	A
USGS	01646500	2019-11-04 12:00	EST	9070	A	3.88	A
USGS	01646500	2019-11-04 12:15	EST	9070	A	3.88	A
USGS	01646500	2019-11-04 12:30	EST	8980	A	3.87	A
USGS	01646500	2019-11-04 12:45	EST	8980	A	3.87	A
USGS	01646500	2019-11-04 13:00	EST	9070	A	3.88	A
USGS	01646500	2019-11-04 13:15	EST	9070	A	3.88	A
USGS	01646500	2019-11-04 13:30	EST	9070	A	3.88	A
USGS	01646500	2019-11-04 13:45	EST	9160	A	3.89	A
USGS	01646500	2019-11-04 14:00	EST	8980	A	3.87	A
USGS	01646500	2019-11-04 14:15	EST	9070	A	3.88	A
USGS	01646500	2019-11-04 14:30	EST	9070	A	3.88	A
USGS	01646500	2019-11-04 14:45	EST	9070	A	3.88	A
USGS	01646500	2019-11-04 15:00	EST	9070	A	3.88	A
USGS	01646500	2019-11-04 15:15	EST	9070	A	3.88	A
USGS	01646500	2019-11-04 15:30	EST	9070	A	3.88	A
USGS	01646500	2019-11-04 15:45	EST	9070	A	3.88	A
USGS	01646500	2019-11-04 16:00	EST	9070	A	3.88	A
USGS	01646500	2019-11-04 16:15	EST	9070	A	3.88	A
USGS	01646500	2019-11-04 16:30	EST	9070	A	3.88	A
USGS	01646500	2019-11-04 16:45	EST	9160	A	3.89	A
USGS	01646500	2019-11-04 17:00	EST	9070	A	3.88	A
USGS	01646500	2019-11-04 17:15	EST	9070	A	3.88	A
USGS	01646500	2019-11-04 17:30	EST	9070	A	3.88	A
USGS	01646500	2019-11-04 17:45	EST	9070	A	3.88	A
USGS	01646500	2019-11-04 18:00	EST	9070	A	3.88	A
USGS	01646500	2019-11-04 18:15	EST	9070	A	3.88	A
USGS	01646500	2019-11-04 18:30	EST	9070	A	3.88	A
USGS	01646500	2019-11-04 18:45	EST	8970	A	3.87	A
USGS	01646500	2019-11-04 19:00	EST	9070	A	3.88	A
USGS	01646500	2019-11-04 19:15	EST	9070	A	3.88	A
USGS	01646500	2019-11-04 19:30	EST	9070	A	3.88	A
USGS	01646500	2019-11-04 19:45	EST	9070	A	3.88	A
USGS	01646500	2019-11-04 20:00	EST	8970	A	3.87	A
USGS	01646500	2019-11-04 20:15	EST	8970	A	3.87	A
USGS	01646500	2019-11-04 20:30	EST	8970	A	3.87	A
USGS	01646500	2019-11-04 20:45	EST	8970	A	3.87	A
USGS	01646500	2019-11-04 21:00	EST	8970	A	3.87	A
USGS	01646500	2019-11-04 21:15	EST	8970	A	3.87	A
USGS	01646500	2019-11-04 21:30	EST	8880	A	3.86	A
USGS	01646500	2019-11-04 21:45	EST	8970	A	3.87	A
USGS	01646500	2019-11-04 22:00	EST	8970	A	3.87	A
USGS	01646500	2019-11-04 22:15	EST	8970	A	3.87	A
USGS	01646500	2019-11-04 22:30	EST	8970	A	3.87	A
USGS	01646500	2019-11-04 22:45	EST	8970	A	3.87	A
